Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
269;5700163963;"Politics, Philosophy and Economics";journal;"1470594X";0,646;Q1;25;25;61;877;69;59;0,95;35,08;United States;"SAGE Publications";"2002-ongoing";"Philosophy (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)"
270;21100320408;"Human Service Organizations Management, Leadership and Governance";journal;"2330314X, 23303131";0,644;Q1;9;35;128;1804;164;102;1,27;51,54;United Kingdom;"Taylor and Francis Ltd.";"2014-ongoing";"Sociology and Political Science (Q1); Health (social science) (Q2); Public Administration (Q2); Strategy and Management (Q2)"
271;12100155921;"Social Policy and Society";journal;"14747464";0,643;Q1;16;53;138;2494;253;137;1,73;47,06;United Kingdom;"Cambridge University Press";"2011, 2013-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
272;4400151519;"Journal of Women, Politics and Policy";journal;"1554477X";0,638;Q1;26;23;65;1375;83;65;1,25;59,78;United States;"The Haworth Pastoral Press";"2005, 2007-ongoing";"Gender Studies (Q1); Sociology and Political Science (Q1)"
273;11600153664;"Filosofija, Sociologija";journal;"02357186";0,637;Q1;9;25;110;668;35;103;0,39;26,72;Lithuania;"Lithuanian Academy of Sciences Publishers";"2008-ongoing";"Philosophy (Q1); Sociology and Political Science (Q1)"
274;22328;"Organizational Dynamics";journal;"00902616";0,634;Q1;55;59;98;0;190;94;1,55;0,00;United Kingdom;"Elsevier Ltd.";"1972-1995, 1997-ongoing";"Sociology and Political Science (Q1); Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)"
275;19700187619;"International Journal of Strategic Communication";journal;"1553118X, 15531198";0,626;Q2;16;31;76;2231;144;74;1,84;71,97;United States;"Lawrence Erlbaum Associates Inc.";"2010-ongoing";"Communication (Q1); Sociology and Political Science (Q2)"
276;14573;"Social Policy and Administration";journal;"01445596, 14679515";0,626;Q2;56;105;171;5205;302;168;1,65;49,57;United Kingdom;"Blackwell Publishing Inc.";"1967-ongoing";"Development (Q2); Public Administration (Q2); Social Work (Q2); Sociology and Political Science (Q2)"
277;130127;"Human Rights Law Review";journal;"14617781";0,619;Q2;30;30;80;1250;84;75;0,79;41,67;United Kingdom;"Oxford University Press";"2005-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
278;21100812569;"Journal of Social and Political Psychology";journal;"21953325";0,617;Q2;15;38;96;2374;241;85;2,08;62,47;Germany;"PsychOpen";"2013-ongoing";"Applied Psychology (Q2); Social Psychology (Q2); Sociology and Political Science (Q2)"
279;14402;"Archives Europeennes de Sociologie";journal;"14740583, 00039756";0,612;Q2;33;15;43;884;59;41;1,32;58,93;United Kingdom;"Cambridge University Press";"1960-ongoing";"Sociology and Political Science (Q2)"
280;18798;"Higher Education Policy";journal;"09528733, 17403863";0,612;Q2;36;74;90;2494;132;87;1,40;33,70;United Kingdom;"Palgrave Macmillan Ltd.";"1996-ongoing";"Education (Q2); Sociology and Political Science (Q2)"
281;20369;"Journal of Family Violence";journal;"08857482, 15732851";0,611;Q2;69;43;256;2182;411;250;1,30;50,74;United States;"Kluwer Academic/Plenum Publishers";"1986-ongoing";"Law (Q1); Social Sciences (miscellaneous) (Q1); Clinical Psychology (Q2); Sociology and Political Science (Q2)"
282;15725;"Voluntas";journal;"09578765, 15737888";0,610;Q2;41;131;362;7416;568;335;1,60;56,61;United States;"Kluwer Academic/Plenum Publishers";"1990-ongoing";"Business and International Management (Q1); Geography, Planning and Development (Q2); Public Administration (Q2); Sociology and Political Science (Q2); Strategy and Management (Q2)"
283;53135;"Dialectical Anthropology";journal;"03044092";0,609;Q2;16;50;87;1569;53;71;0,89;31,38;Germany;"Springer Verlag";"1975, 1977-2001, 2003, 2005-ongoing";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q2); Sociology and Political Science (Q2)"
284;5700164302;"Rivista Italiana di Scienza Politica";journal;"00488402";0,607;Q2;10;21;49;1154;47;49;0,88;54,95;Italy;"Cambridge University Press";"2010-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q2)"
285;3500148027;"Science as Culture";journal;"09505431";0,605;Q2;35;29;87;1633;128;79;1,43;56,31;United Kingdom;"Taylor & Francis";"1987-ongoing";"Cultural Studies (Q1); History and Philosophy of Science (Q1); Biomedical Engineering (Q2); Biotechnology (Q2); Health (social science) (Q2); Sociology and Political Science (Q2)"
286;5600153350;"International Review of Victimology";journal;"02697580";0,599;Q2;22;31;55;1927;69;55;1,08;62,16;United States;"SAGE Publications Inc.";"1990-2010, 2012-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
287;18500158100;"Forum: A Journal of Applied Research in Contemporary Politics";journal;"15408884";0,595;Q2;17;32;93;1552;77;81;0,62;48,50;Germany;"Walter de Gruyter GmbH";"2004-ongoing";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q2)"
288;20324;"Journal of Educational Administration and History";journal;"00220620";0,595;Q2;16;34;74;1805;83;68;1,20;53,09;United Kingdom;"Taylor & Francis";"1968-1995, 1999-2000, 2010-ongoing";"Education (Q2); Sociology and Political Science (Q2)"
289;15060;"Afrika Spectrum";journal;"00020397";0,593;Q2;18;17;58;811;53;56;1,08;47,71;Germany;"Institut fur Afrika-Kunde";"1983-1984, 2006-ongoing";"Cultural Studies (Q1); Political Science and International Relations (Q1); Development (Q2); Sociology and Political Science (Q2)"
290;21100779233;"Journal of racial and ethnic health disparities";journal;"21968837";0,593;Q2;12;159;296;7421;509;290;1,68;46,67;United States;"Springer Nature";"2015-ongoing";"Anthropology (Q1); Health Policy (Q2); Health (social science) (Q2); Public Health, Environmental and Occupational Health (Q2); Sociology and Political Science (Q2)"
291;19400158810;"Child Indicators Research";journal;"18748988, 1874897X";0,592;Q2;22;98;177;5852;306;173;1,67;59,71;Germany;"Springer Verlag";"2009-ongoing";"Health (social science) (Q2); Social Psychology (Q2); Sociology and Political Science (Q2)"
292;130173;"Community, Work and Family";journal;"14693615, 13668803";0,592;Q2;32;62;103;2484;160;93;1,28;40,06;United Kingdom;"Carfax Publishing Ltd.";"2003-ongoing";"Development (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
293;16064;"East European Politics and Societies";journal;"08883254";0,592;Q2;37;62;140;1519;131;135;0,71;24,50;United States;"SAGE Publications";"1986-ongoing";"Sociology and Political Science (Q2)"
294;21100464772;"Network Science";journal;"20501250, 20501242";0,592;Q2;12;23;73;763;123;71;1,33;33,17;United Kingdom;"Cambridge University Press";"2013-ongoing";"Communication (Q2); Social Psychology (Q2); Sociology and Political Science (Q2)"
295;110220;"Human Ecology";journal;"15729915, 03007839";0,590;Q2;64;78;201;4742;301;188;1,39;60,79;United States;"Plenum Publishers";"1972-ongoing";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q2); Ecology (Q2); Environmental Science (miscellaneous) (Q2); Health (social science) (Q2); Health, Toxicology and Mutagenesis (Q2); Public Health, Environmental and Occupational Health (Q2); Sociology and Political Science (Q2)"
296;16562;"Armed Forces and Society";journal;"0095327X";0,589;Q2;36;65;113;2774;147;111;1,05;42,68;United States;"SAGE Publications";"1974-ongoing";"Safety Research (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
297;5800169165;"Conflict, Security and Development";journal;"14678802";0,589;Q2;16;25;79;2027;89;75;1,15;81,08;United Kingdom;"Routledge";"2010-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q2)"
298;5600155405;"Asian Ethnicity";journal;"14692953, 14631369";0,588;Q2;13;34;102;1491;82;92;0,84;43,85;United Kingdom;"Carfax Publishing Ltd.";"2008-ongoing";"Cultural Studies (Q1); Sociology and Political Science (Q2)"
299;24747;"Modern Asian Studies";journal;"0026749X, 14698099";0,585;Q2;35;74;188;4826;112;183;0,58;65,22;United Kingdom;"Cambridge University Press";"1967-ongoing";"History (Q1); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
300;25057;"Mathematical Social Science";journal;"01654896";0,581;Q2;33;66;190;1930;154;187;0,69;29,24;Netherlands;"Elsevier BV";"1981-ongoing";"Psychology (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Statistics, Probability and Uncertainty (Q3)"
301;26619;"Symbolic Interaction";journal;"01956086";0,570;Q2;42;36;97;1455;82;86;0,95;40,42;United States;"Wiley-Blackwell";"1977-ongoing";"Nursing (miscellaneous) (Q1); Communication (Q2); Education (Q2); Social Psychology (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
302;15532;"International Sociology";journal;"02685809";0,568;Q2;49;31;98;1542;137;89;1,37;49,74;United States;"SAGE Publications";"1986-ongoing";"Sociology and Political Science (Q2)"
303;19349;"Journal of Mathematical Sociology";journal;"0022250X";0,568;Q2;29;15;44;509;67;38;2,35;33,93;United Kingdom;"Taylor & Francis";"1971-ongoing";"Algebra and Number Theory (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
304;5600155004;"Contemporary Politics";journal;"14693631, 13569775";0,566;Q2;17;45;87;3006;117;86;1,65;66,80;United Kingdom;"Routledge";"1970, 1995, 2010-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q2)"
305;18103;"Sociological Quarterly";journal;"00380253";0,566;Q2;54;45;103;2797;153;97;1,20;62,16;United States;"Taylor and Francis Ltd.";"1960-ongoing";"Sociology and Political Science (Q2)"
306;21100782393;"Innovation and Development";journal;"2157930X, 21579318";0,564;Q2;6;11;49;689;64;48;0,83;62,64;United Kingdom;"Taylor and Francis Ltd.";"2015-ongoing";"Cultural Studies (Q1); Political Science and International Relations (Q1); Development (Q2); Education (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
307;130056;"Journal of International Criminal Justice";journal;"14781395, 14781387";0,564;Q2;34;47;172;1584;120;159;0,67;33,70;United Kingdom;"Oxford University Press";"2005-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
308;24606;"Anthrozoos";journal;"08927936";0,563;Q2;43;49;129;2382;258;128;1,65;48,61;United Kingdom;"Taylor & Francis";"1990, 1992-1993, 1996-ongoing";"Anthropology (Q1); Animal Science and Zoology (Q2); Education (Q2); Sociology and Political Science (Q2); Veterinary (miscellaneous) (Q2)"
309;29496;"Religion";journal;"10961151, 0048721X";0,563;Q2;27;33;96;1865;74;90;0,81;56,52;United Kingdom;"Taylor & Francis";"1971-ongoing";"History (Q1); Sociology and Political Science (Q2)"
310;17181;"Public Money and Management";journal;"14679302, 09540962";0,561;Q2;43;99;270;2624;311;225;1,32;26,51;United Kingdom;"Taylor & Francis";"1988-ongoing";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q2); Sociology and Political Science (Q2)"
311;27696;"Journal of Southern African Studies";journal;"03057070, 14653893";0,559;Q2;42;62;242;2037;184;220;0,93;32,85;United Kingdom;"Carfax Publishing Ltd.";"1974-ongoing";"Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
312;16241;"Journal of Law and Society";journal;"0263323X";0,557;Q2;44;41;87;2417;104;87;1,07;58,95;United Kingdom;"Blackwell Publishing Inc.";"1983, 1985, 1988, 1991-1993, 1996-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
313;4700152207;"International Communication Gazette";journal;"17480485, 17480493";0,556;Q2;30;53;135;2678;164;129;1,20;50,53;United Kingdom;"SAGE Publications";"1961, 1966, 1996-1999, 2003-2004, 2006-ongoing";"Communication (Q2); Sociology and Political Science (Q2)"
314;17534;"Social Justice Research";journal;"15736725, 08857466";0,554;Q2;49;22;61;1416;98;61;1,46;64,36;United States;"Kluwer Academic/Plenum Publishers";"1987-1990, 1992-ongoing";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q2)"
315;19700168801;"Journal of Eurasian Studies";journal;"18793665";0,551;Q2;13;19;55;859;126;55;2,39;45,21;South Korea;"Hanyang University";"2010-ongoing";"Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q2)"
316;27760;"New Left Review";journal;"00286060";0,551;Q2;62;28;106;621;192;100;1,88;22,18;United Kingdom;"New Left Review Ltd.";"1984, 1987, 1996-ongoing";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
317;4000149603;"Political Studies Review";journal;"14789299, 14789302";0,545;Q2;25;40;84;1606;97;76;1,57;40,15;United States;"SAGE Publications";"2006-ongoing";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
318;4700152786;"Journal of Political Marketing";journal;"15377857, 15377865";0,544;Q2;20;39;74;1693;99;57;1,78;43,41;United States;"Haworth Press Inc.";"2002-ongoing";"Marketing (Q2); Sociology and Political Science (Q2)"
319;4700152864;"Journal of Public Child Welfare";journal;"15548732";0,543;Q2;17;45;89;2011;109;85;1,33;44,69;United Kingdom;"Taylor & Francis";"2006-ongoing";"Sociology and Political Science (Q2); Developmental and Educational Psychology (Q3)"
320;21100830164;"Business and Human Rights Journal";journal;"20570198, 20570201";0,541;Q2;6;20;52;920;76;51;1,49;46,00;United Kingdom;"Cambridge University Press";"2016-ongoing";"Law (Q1); Business and International Management (Q2); Industrial Relations (Q2); Sociology and Political Science (Q2)"
321;16300154767;"Media, War and Conflict";journal;"17506352, 17506360";0,540;Q2;17;38;57;1762;68;54;1,09;46,37;United States;"SAGE Publications";"2007-ongoing";"Arts and Humanities (miscellaneous) (Q2); Communication (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
322;21100258637;"Administratie si Management Public";journal;"15839583";0,535;Q2;9;20;42;770;167;42;5,13;38,50;Romania;"Academy of Economic Studies from Bucharest";"2013-ongoing";"Public Administration (Q2); Sociology and Political Science (Q2)"
323;4100151709;"European Journal of Political Theory";journal;"17412730, 14748851";0,535;Q2;27;44;92;1813;103;84;1,07;41,20;United States;"Sage Periodicals Press";"2002-ongoing";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
324;5100154603;"Opiniao Publica";journal;"01046276";0,534;Q2;14;23;78;1380;45;78;0,50;60,00;Brazil;"Centro de Estudos de Opiniao Publica, Universidade Estadual de Campinas";"2006-ongoing";"Sociology and Political Science (Q2)"
325;28894;"Journal of Leisure Research";journal;"00222216";0,533;Q2;63;13;59;914;114;58;1,20;70,31;United States;"National Recreation and Park Association";"1978-1989, 1991, 1996-ongoing";"Environmental Science (miscellaneous) (Q2); Sociology and Political Science (Q2); Tourism, Leisure and Hospitality Management (Q2)"
326;21100259595;"Contemporary Readings in Law and Social Justice";journal;"19489137";0,530;Q2;9;20;47;788;125;46;3,44;39,40;United States;"Addleton Academic Publishers";"2013-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
327;15726;"Kolner Zeitschrift für Soziologie und Sozialpsychologie";journal;"00232653";0,529;Q2;30;47;111;2781;118;109;1,06;59,17;Germany;"V S - Verlag fur Sozialwissenschaften";"1983, 1988-1989, 1992-1993, 1996-ongoing";"Social Psychology (Q2); Sociology and Political Science (Q2)"
328;27390;"Pacific Affairs";journal;"0030851X";0,518;Q2;30;14;60;804;73;58;0,97;57,43;Canada;"University of British Columbia";"1979, 1981-1982, 1984, 1991-ongoing";"Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
329;19700169607;"Annals of Public and Cooperative Economics";journal;"13704788, 14678292";0,517;Q2;32;45;93;2258;128;91;1,50;50,18;United Kingdom;"Blackwell Publishing Inc.";"1925-1942, 1948-ongoing";"Economics and Econometrics (Q2); Sociology and Political Science (Q2)"
330;19285;"Zeitschrift für Soziologie";journal;"03401804";0,515;Q2;28;26;77;1871;58;74;0,64;71,96;Germany;"Walter de Gruyter GmbH";"1981, 1983-1984, 1986-1987, 1989-1991, 1994-ongoing";"Sociology and Political Science (Q2)"
331;5600153131;"Social Analysis";journal;"0155977X";0,514;Q2;20;28;86;1339;105;81;0,85;47,82;Australia;"University of Adelaide";"2002-ongoing";"Anthropology (Q1); Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2); Sociology and Political Science (Q2)"
332;21100463803;"Regional Studies, Regional Science";journal;"21681376";0,506;Q2;11;34;112;1213;179;99;0,94;35,68;United Kingdom;"Taylor and Francis Ltd.";"2014-ongoing";"Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
333;29831;"International Journal of Social Welfare";journal;"14682397, 13696866";0,504;Q2;40;46;111;2258;152;100;1,33;49,09;United Kingdom;"Blackwell Publishing Inc.";"1996-ongoing";"Social Work (Q2); Sociology and Political Science (Q2)"
334;13519;"Contemporary Southeast Asia";journal;"0129797X";0,502;Q2;10;20;81;1692;77;67;1,10;84,60;Singapore;"Institute of Southeast Asian Studies";"1980-1981, 1984-1985, 2012-ongoing";"History (Q1); Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
335;23421;"Political Theory";journal;"00905917";0,502;Q2;53;47;97;1863;91;88;1,29;39,64;United States;"SAGE Publications";"1973-ongoing";"History (Q1); Sociology and Political Science (Q2)"
336;19900192517;"Revista Espanola de Derecho Constitucional";journal;"02115743, 19890648";0,501;Q2;5;32;113;797;43;80;0,54;24,91;Spain;"Centro de Estudios Politicos y Constitucionales";"2008-ongoing";"Law (Q2); Sociology and Political Science (Q2)"
337;200147126;"Journal of Intercultural Studies";journal;"07256868";0,498;Q2;25;46;134;2245;173;121;1,58;48,80;United Kingdom;"Taylor & Francis";"1980-1995, 2005-ongoing";"Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q2)"
338;11600153582;"Community Development: Journal of the Community Development Society";journal;"15575330";0,496;Q2;14;41;147;1454;125;129;0,70;35,46;United Kingdom;"Routledge";"2010-ongoing";"Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
339;5600153659;"European Journal of Social Work";journal;"13691457";0,496;Q2;17;139;207;4522;191;186;0,99;32,53;United Kingdom;"Taylor & Francis";"2008-ongoing";"Social Sciences (miscellaneous) (Q2); Social Work (Q2); Sociology and Political Science (Q2)"
340;20499;"Canadian Public Policy/ Analyse de Politiques";journal;"03170861";0,495;Q2;29;32;124;1422;129;120;0,82;44,44;Canada;"University of Toronto Press";"1978-1980, 1984, 1989-ongoing";"Public Administration (Q2); Sociology and Political Science (Q2)"
341;20841;"Health and Human Rights";journal;"10790969, 21504113";0,494;Q2;27;47;133;1595;154;107;1,37;33,94;United States;"Harvard School for Public Health";"1994-2001, 2003-2006, 2008-ongoing";"Health (social science) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
342;20943;"Scandinavian Political Studies";journal;"00806757, 14679477";0,488;Q2;37;21;70;1124;69;66;1,07;53,52;United Kingdom;"Blackwell Publishing Inc.";"1967-1973, 1975-ongoing";"Sociology and Political Science (Q2)"
343;26288;"Journal of Latin American Studies";journal;"0022216X, 1469767X";0,484;Q2;38;60;78;1968;83;75;0,92;32,80;United Kingdom;"Cambridge University Press";"1969-ongoing";"Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
344;21100842666;"Caucasus Survey";journal;"23761199, 23761202";0,483;Q2;6;14;52;675;32;49;0,77;48,21;United States;"Routledge";"2013, 2016-ongoing";"Anthropology (Q1); Cultural Studies (Q1); History (Q1); Demography (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
345;5700164241;"Young";journal;"11033088";0,482;Q2;25;43;73;2287;93;70;1,27;53,19;United Kingdom;"SAGE Publications";"1993-ongoing";"Health (social science) (Q2); Sociology and Political Science (Q2); Developmental and Educational Psychology (Q3)"
346;5200152619;"Revista de Sociologia e Politica";journal;"01044478";0,480;Q2;9;29;95;1508;40;87;0,44;52,00;Brazil;"Grupo de Estudos Estado e Sociedade, Universidade Federal do Parana";"2006-ongoing";"Sociology and Political Science (Q2)"
347;27731;"Latin American Perspectives";journal;"0094582X";0,479;Q2;34;90;213;3570;167;192;0,77;39,67;United States;"SAGE Publications";"1977, 1984, 1986-ongoing";"Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
348;5000153601;"Journal of Teaching in Social Work";journal;"15407349, 08841233";0,478;Q2;22;35;106;1341;78;99;0,39;38,31;United States;"Haworth Social Work Practice Press";"1987-ongoing";"Education (Q2); Sociology and Political Science (Q2); Social Work (Q3)"
349;5700167221;"Journal of Contemporary European Studies";journal;"14782790, 14782804";0,477;Q2;17;39;92;2030;110;81;1,13;52,05;United Kingdom;"Carfax Publishing Ltd.";"2007-ongoing";"Cultural Studies (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
350;17086;"South Asia: Journal of South Asia Studies";journal;"14790270, 00856401";0,477;Q2;14;53;198;2295;93;184;0,32;43,30;United Kingdom;"Carfax Publishing Ltd.";"1971-1976, 1978-ongoing";"Cultural Studies (Q1); History (Q1); Development (Q2); Sociology and Political Science (Q2)"
351;5700163951;"International Journal of Cultural Policy";journal;"14772833, 10286632";0,475;Q2;19;82;147;3862;211;124;1,45;47,10;United Kingdom;"Routledge";"2010-ongoing";"Cultural Studies (Q1); Sociology and Political Science (Q2)"
352;67476;"Social Anthropology";journal;"09640282";0,474;Q2;35;45;115;1326;168;93;1,98;29,47;United States;"Wiley-Blackwell";"1982, 1992-1995, 2005-ongoing";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q2); Sociology and Political Science (Q2); Developmental and Educational Psychology (Q3)"
353;24359;"Women's Studies International Forum";journal;"02775395";0,474;Q2;50;99;223;5896;277;214;0,91;59,56;United Kingdom;"Elsevier Ltd.";"1982-ongoing";"Development (Q2); Education (Q2); Law (Q2); Sociology and Political Science (Q2)"
354;5600153110;"Revista Espanola de Investigaciones Sociologicas";journal;"02105233";0,469;Q2;13;32;103;1441;86;93;0,89;45,03;Spain;"Centro de Investigaciones Sociologicas";"2008-ongoing";"Sociology and Political Science (Q2)"
355;5600152909;"Capital and Class";journal;"03098168";0,468;Q2;30;33;77;1701;88;72;1,15;51,55;United States;"SAGE Publications Inc.";"1977-ongoing";"History (Q1); Economics and Econometrics (Q2); Sociology and Political Science (Q2)"
356;26863;"Middle East Policy";journal;"14754967, 10611924";0,468;Q2;23;42;130;1308;97;105;1,00;31,14;United Kingdom;"Blackwell Publishing Inc.";"1992-ongoing";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
357;19400158571;"Race and Social Problems";journal;"18671748, 18671756";0,464;Q2;19;23;80;1348;111;77;1,49;58,61;Germany;"Springer Verlag";"2009-ongoing";"Anthropology (Q1); Sociology and Political Science (Q2)"
358;17507;"Social Compass";journal;"00377686";0,464;Q2;27;42;108;1963;94;98;0,70;46,74;United States;"SAGE Publications";"1953-1957, 1959-1960, 1962, 1965, 1967, 1969-1970, 1972-1974, 1985-ongoing";"Anthropology (Q1); Religious Studies (Q1); Sociology and Political Science (Q2)"
359;5600155625;"Politikon";journal;"02589346, 14701014";0,461;Q2;17;29;77;1256;53;69;0,67;43,31;United Kingdom;"Taylor & Francis";"1974-1995, 2006-ongoing";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
360;27733;"Latin American Research Review";journal;"00238791, 15424278";0,460;Q2;42;44;148;2580;104;137;0,75;58,64;United States;"University of Texas Press";"1970, 1978-ongoing";"Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Literature and Literary Theory (Q1); Multidisciplinary (Q1); Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Development (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
361;13475;"Culture and Psychology";journal;"1354067X";0,459;Q2;42;45;101;1686;125;96;1,23;37,47;United States;"SAGE Publications";"1995-ongoing";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)"
362;21100453516;"Psychology, Society and Education";journal;"1989709X, 21712085";0,459;Q2;6;16;89;658;85;89;0,31;41,13;Spain;"Association for the Advancement of Psychology and Education";"2015-ongoing";"Clinical Psychology (Q2); Education (Q2); Social Psychology (Q2); Sociology and Political Science (Q2)"
363;100147325;"Journal of Classical Sociology";journal;"1468795X";0,456;Q2;19;29;77;1248;56;70;0,70;43,03;United States;"SAGE Publications";"2001-ongoing";"Sociology and Political Science (Q2)"
364;145212;"Sociological Research Online";journal;"13607804";0,456;Q2;41;50;151;2708;236;148;1,83;54,16;United Kingdom;"British Sociological Association";"1996-2001, 2003-ongoing";"Sociology and Political Science (Q2)"
365;18676;"Technology in Society";journal;"0160791X";0,453;Q2;44;81;172;4604;333;167;2,00;56,84;Netherlands;"Elsevier BV";"1979-ongoing";"Business and International Management (Q2); Education (Q2); Human Factors and Ergonomics (Q2); Sociology and Political Science (Q2)"
366;19900191425;"Journal of Politics in Latin America";journal;"18684890, 1866802X";0,452;Q2;4;10;45;529;47;44;0,83;52,90;Germany;"Institut fur Iberoamerika-Kunde";"2015-ongoing";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
367;5700166813;"Journal of Chinese Political Science";journal;"10806954";0,450;Q2;14;42;83;2231;71;78;0,72;53,12;Netherlands;"Springer Netherlands";"1995-1996, 2009-ongoing";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
368;101305;"Journal of Sociology";journal;"14407833";0,450;Q2;44;59;186;2763;263;175;1,25;46,83;United States;"SAGE Publications";"1965-ongoing";"Sociology and Political Science (Q2)"
369;6500153218;"Latin American and Caribbean Ethnic Studies";journal;"17442222, 17442230";0,449;Q2;12;18;52;1008;34;49;0,44;56,00;United Kingdom;"Routledge";"2006-ongoing";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2)"
370;19700170839;"Journal of Human Rights Practice";journal;"17579619, 17579627";0,447;Q2;16;29;88;1279;52;85;0,52;44,10;United Kingdom;"Oxford University Press";"2009-ongoing";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
371;18086;"Sociological Inquiry";journal;"1475682X, 00380245";0,447;Q2;45;34;75;1897;106;75;1,16;55,79;United Kingdom;"Blackwell Publishing Inc.";"1961-ongoing";"Sociology and Political Science (Q2)"
372;16511;"Australian Journal of Public Administration";journal;"03136647";0,443;Q2;36;78;125;3565;173;119;1,45;45,71;United Kingdom;"Blackwell Publishing Inc.";"1937-ongoing";"Public Administration (Q2); Sociology and Political Science (Q2)"
373;5700164101;"French Politics";journal;"14763427, 14763419";0,443;Q2;10;29;77;1616;63;76;0,65;55,72;United Kingdom;"Palgrave Macmillan Ltd.";"2009-ongoing";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
374;5600155107;"Journal of Australian Studies";journal;"0314769X, 14443058";0,443;Q2;10;36;107;1283;38;95;0,48;35,64;United Kingdom;"Taylor & Francis";"1977-1995, 2008-ongoing";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
375;29502;"Race and Class";journal;"03063968";0,442;Q2;34;27;93;1107;84;86;0,95;41,00;United States;"SAGE Publications";"1959, 1962-ongoing";"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); Anthropology (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
376;19900191760;"Journal of Peace Education";journal;"17400201, 1740021X";0,441;Q2;11;27;53;1371;52;49;0,84;50,78;United Kingdom;"Routledge";"2010-ongoing";"Education (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
377;21100778009;"Polis (Russian Federation)";journal;"10269487, 16840070";0,441;Q2;4;76;149;1781;50;149;0,34;23,43;Russian Federation;"Noncommercial Partnership Editorial Board Polis";"2016-ongoing";"Sociology and Political Science (Q2)"
