Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
117;5800224699;"Modern Law Review";journal;"14682230, 00267961";0,665;Q1;18;37;127;2407;135;126;1,05;65,05;United Kingdom;"Blackwell Publishing Inc.";"1937-1995, 1997-1999, 2001-2002, 2004, 2011-ongoing";"Law (Q1)"
118;5600152957;"American Journal of Criminal Justice";journal;"10662316, 19361351";0,653;Q1;21;59;146;3620;199;143;1,24;61,36;United States;"Springer New York LLC";"1975-1976, 1980-1982, 1985-1991, 1993-1997, 2009-ongoing";"Law (Q1)"
119;5700165148;"European Constitutional Law Review";journal;"15740196";0,648;Q1;21;38;94;1106;100;87;1,11;29,11;United Kingdom;"Cambridge University Press";"2005-ongoing";"Law (Q1)"
120;21570;"Prison Journal";journal;"00328855";0,641;Q1;43;36;100;1482;123;98;1,17;41,17;United States;"SAGE Publications";"1921-1992, 1996-ongoing";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
121;21100388413;"Policing (Oxford)";journal;"17524512, 17524520";0,636;Q1;10;30;101;962;149;90;1,40;32,07;United Kingdom;"Oxford University Press";"2014-ongoing";"Law (Q1)"
122;13020;"Fordham Law Review";journal;"0015704X";0,633;Q1;30;92;266;5788;139;262;0,41;62,91;United States;"Fordham University Press";"1973, 1975, 1978, 1980, 1983, 1994-ongoing";"Law (Q1)"
123;3300147703;"Journal of Offender Rehabilitation";journal;"10509674";0,622;Q1;33;32;92;1489;94;91;0,69;46,53;United States;"Haworth Press Inc.";"1990-ongoing";"Law (Q1); Rehabilitation (Q2)"
124;130127;"Human Rights Law Review";journal;"14617781";0,619;Q1;30;30;80;1250;84;75;0,79;41,67;United Kingdom;"Oxford University Press";"2005-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
125;26339;"International and Comparative Law Quarterly";journal;"00205893";0,618;Q1;42;40;93;2043;101;93;1,21;51,08;United Kingdom;"Cambridge University Press";"1952-ongoing";"Law (Q1); Political Science and International Relations (Q1)"
126;16300154766;"Crime, Media, Culture";journal;"17416590";0,615;Q1;28;44;62;2032;107;58;2,07;46,18;United Kingdom;"SAGE Publications";"2005-ongoing";"Communication (Q1); Cultural Studies (Q1); Law (Q1); Arts and Humanities (miscellaneous) (Q2)"
127;5100154502;"Journal of Forensic and Legal Medicine";journal;"1752928X";0,615;Q1;40;163;463;4936;653;425;1,41;30,28;Netherlands;"Elsevier BV";"2007-ongoing";"Law (Q1); Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2)"
128;12100155619;"Journal of Police and Criminal Psychology";journal;"19366469, 08820783";0,613;Q1;19;36;81;2210;123;80;1,62;61,39;Germany;"Springer Verlag";"1985-ongoing";"Law (Q1); Applied Psychology (Q2)"
129;21100824892;"Law, Innovation and Technology";journal;"1757997X, 17579961";0,612;Q1;10;12;28;1209;43;27;1,47;100,75;United Kingdom;"Taylor and Francis Ltd.";"2009-ongoing";"Computer Science (miscellaneous) (Q1); Law (Q1); Artificial Intelligence (Q2); Biotechnology (Q2); Computer Science Applications (Q2)"
130;20369;"Journal of Family Violence";journal;"08857482, 15732851";0,611;Q1;69;43;256;2182;411;250;1,30;50,74;United States;"Kluwer Academic/Plenum Publishers";"1986-ongoing";"Law (Q1); Social Sciences (miscellaneous) (Q1); Clinical Psychology (Q2); Sociology and Political Science (Q2)"
131;21100396512;"International Sports Law Journal";journal;"22135154, 15677559";0,610;Q1;4;18;45;464;29;41;0,84;25,78;United States;"Springer Science + Business Media";"2013-ongoing";"Law (Q1)"
132;22761;"Australian and New Zealand Journal of Criminology";journal;"00048658";0,607;Q1;32;46;87;2283;138;83;1,31;49,63;United States;"SAGE Publications Inc.";"1968-1988, 1990-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q2); Social Psychology (Q2)"
133;16264;"Journal of Legal Education";journal;"00222208";0,604;Q1;15;25;133;1217;58;116;0,49;48,68;United States;"Association of America Law Schools";"1988, 1996-ongoing";"Law (Q1); Education (Q2)"
134;19231;"Oxford Journal of Legal Studies";journal;"01436503";0,603;Q1;23;25;104;1231;125;103;1,08;49,24;United Kingdom;"Oxford University Press";"1981-1996, 1998, 2000-2001, 2005-ongoing";"Law (Q1)"
135;5600153350;"International Review of Victimology";journal;"02697580";0,599;Q1;22;31;55;1927;69;55;1,08;62,16;United States;"SAGE Publications Inc.";"1990-2010, 2012-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
136;5800179629;"Journal of Criminal Justice Education";journal;"10511253, 17459117";0,585;Q1;22;45;93;1548;87;91;0,77;34,40;United Kingdom;"Taylor & Francis";"1990-1995, 2007-ongoing";"Law (Q1); Education (Q2)"
137;200147134;"First Monday";journal;"13960466";0,579;Q1;63;94;293;4462;471;291;1,38;47,47;United States;"First Monday";"1996-ongoing";"Computer Networks and Communications (Q1); Law (Q1); Human-Computer Interaction (Q2)"
138;21100283726;"Forensic Science Review";journal;"10427201";0,579;Q1;8;20;30;530;41;20;2,79;26,50;Taiwan;"Central Police University Press";"2012, 2014-ongoing";"Law (Q1); Medicine (miscellaneous) (Q2)"
139;18778;"Violence and Victims";journal;"08866708";0,566;Q1;76;66;198;3595;269;198;1,21;54,47;United States;"Springer Publishing Company";"1986-ongoing";"Law (Q1); Health (social science) (Q2); Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2)"
140;130056;"Journal of International Criminal Justice";journal;"14781395, 14781387";0,564;Q1;34;47;172;1584;120;159;0,67;33,70;United Kingdom;"Oxford University Press";"2005-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
141;17600155423;"The International Journal of Transitional Justice";journal;"17527724, 17527716";0,558;Q1;22;30;90;1259;118;83;1,27;41,97;United Kingdom;"Oxford University Press";"2011-ongoing";"Law (Q1)"
142;16241;"Journal of Law and Society";journal;"0263323X";0,557;Q1;44;41;87;2417;104;87;1,07;58,95;United Kingdom;"Blackwell Publishing Inc.";"1983, 1985, 1988, 1991-1993, 1996-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
143;17534;"Social Justice Research";journal;"15736725, 08857466";0,554;Q1;49;22;61;1416;98;61;1,46;64,36;United States;"Kluwer Academic/Plenum Publishers";"1987-1990, 1992-ongoing";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q2)"
144;5700168360;"Police Practice and Research";journal;"15614263";0,546;Q1;17;72;152;3561;146;121;1,13;49,46;United Kingdom;"Taylor & Francis";"2009-ongoing";"Law (Q1); Social Sciences (miscellaneous) (Q2)"
145;27728;"Digital Investigation";journal;"17422876";0,543;Q1;43;77;182;1787;523;166;2,74;23,21;Netherlands;"Elsevier BV";"2004-ongoing";"Law (Q1); Computer Science Applications (Q2); Medical Laboratory Technology (Q2)"
146;21100830164;"Business and Human Rights Journal";journal;"20570198, 20570201";0,541;Q1;6;20;52;920;76;51;1,49;46,00;United Kingdom;"Cambridge University Press";"2016-ongoing";"Law (Q1); Business and International Management (Q2); Industrial Relations (Q2); Sociology and Political Science (Q2)"
147;21100259595;"Contemporary Readings in Law and Social Justice";journal;"19489137";0,530;Q1;9;20;47;788;125;46;3,44;39,40;United States;"Addleton Academic Publishers";"2013-ongoing";"Law (Q1); Sociology and Political Science (Q2)"
148;25650;"Columbia Journal of Transnational Law";journal;"00101931";0,529;Q1;29;25;46;1671;42;46;0,28;66,84;United States;"Columbia Journal of Transnational Law Association";"1980, 1989-1990, 1996-ongoing";"Law (Q1); Political Science and International Relations (Q2)"
149;5700163881;"Contemporary Justice Review";journal;"10282580";0,527;Q1;10;28;97;1474;77;85;0,98;52,64;United Kingdom;"Routledge";"2010-ongoing";"Law (Q1)"
150;14298;"Harvard Environmental Law Review";journal;"01478257";0,526;Q1;28;12;42;1181;30;42;0,91;98,42;United States;"Harvard University, Law School Publications Center";"1979-1983, 1987, 1989, 1996-ongoing";"Law (Q1); Environmental Science (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2)"
151;21100788736;"Cambridge Yearbook of European Legal Studies";journal;"20497636, 15288870";0,523;Q1;11;11;40;919;38;37;1,09;83,55;United Kingdom;"Cambridge University Press";"1998, 2000, 2008-2010, 2012-ongoing";"Law (Q1)"
152;15662;"International Review of Law and Economics";journal;"01448188";0,514;Q1;38;36;125;1477;110;123;0,61;41,03;Netherlands;"Elsevier BV";"1981-ongoing";"Law (Q1); Economics and Econometrics (Q2); Finance (Q2)"
153;21100856536;"Journal of Antitrust Enforcement";journal;"20500688, 20500696";0,513;Q1;6;18;70;762;25;68;0,33;42,33;United Kingdom;"Oxford University Press";"2013-ongoing";"Law (Q1)"
154;27789;"International Journal of Marine and Coastal Law";journal;"09273522, 15718085";0,510;Q1;25;21;92;603;73;92;0,66;28,71;Netherlands;"Martinus Nijhoff Publishers";"1994-ongoing";"Law (Q1); Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Oceanography (Q2)"
155;17521;"Law and Contemporary Problems";journal;"00239186, 19452322";0,510;Q2;33;36;110;2045;119;106;1,25;56,81;United States;"Duke University Press";"1976, 1979, 1981-1982, 1985-1986, 1988-1989, 1991, 1993-1994, 1996, 2005-ongoing";"Law (Q2)"
156;5400152639;"IET Intelligent Transport Systems";journal;"17519578, 1751956X";0,509;Q2;34;173;269;5487;735;258;2,95;31,72;United Kingdom;"Institution of Engineering and Technology";"2007-ongoing";"Environmental Science (miscellaneous) (Q2); Law (Q2); Mechanical Engineering (Q2); Transportation (Q2)"
157;12123;"Behavioral Sciences and the Law";journal;"10990798, 07353936";0,503;Q2;66;54;150;2881;175;142;0,84;53,35;United States;"John Wiley & Sons Inc.";"1983-ongoing";"Clinical Psychology (Q2); Law (Q2); Medicine (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)"
158;16291;"European Law Review";journal;"03075400";0,503;Q2;17;53;166;2468;104;149;0,73;46,57;United Kingdom;"Sweet & Maxwell Ltd";"1995, 2008-ongoing";"Law (Q2)"
159;11400153312;"Feminist Criminology";journal;"15570851";0,502;Q2;29;44;54;2387;96;49;1,90;54,25;United States;"SAGE Publications";"2006-ongoing";"Gender Studies (Q2); Law (Q2)"
160;12763;"International Journal of Technology Management";journal;"17415276, 02675730";0,502;Q2;51;40;123;3084;185;118;1,19;77,10;United Kingdom;"Inderscience Enterprises Ltd.";"1986-1989, 1996-ongoing";"Engineering (miscellaneous) (Q1); Computer Science Applications (Q2); Industrial Relations (Q2); Law (Q2); Strategy and Management (Q2)"
161;21100788802;"Forensic Chemistry";journal;"24681709";0,501;Q2;6;62;68;2086;127;66;1,92;33,65;Netherlands;"Elsevier BV";"2016-ongoing";"Analytical Chemistry (Q2); Law (Q2); Materials Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Pathology and Forensic Medicine (Q3); Spectroscopy (Q3)"
162;19900192517;"Revista Espanola de Derecho Constitucional";journal;"02115743, 19890648";0,501;Q2;5;32;113;797;43;80;0,54;24,91;Spain;"Centro de Estudios Politicos y Constitucionales";"2008-ongoing";"Law (Q2); Sociology and Political Science (Q2)"
163;13880;"Artificial Intelligence and Law";journal;"09248463, 15728382";0,492;Q2;32;20;50;941;105;46;2,75;47,05;Netherlands;"Kluwer Academic Publishers";"1992-1993, 1995-ongoing";"Artificial Intelligence (Q2); Law (Q2)"
164;21100239827;"Monatsschrift fur Kriminologie und Strafrechtsreform";journal;"00269301";0,492;Q2;7;9;93;396;47;92;0,24;44,00;Germany;"Carl Heymanns Verlag KG";"2010-ongoing";"Law (Q2)"
165;21100423127;"Stability";journal;"21652627";0,491;Q2;13;10;89;408;79;83;0,83;40,80;United Kingdom;"Ubiquity Press Limited";"2012-ongoing";"Law (Q2); Political Science and International Relations (Q2)"
166;21100774810;"Health and Justice";journal;"21947899";0,488;Q2;5;22;27;1047;45;25;1,80;47,59;United Kingdom;"Springer Open";"2016-ongoing";"Law (Q2); Public Health, Environmental and Occupational Health (Q3)"
167;5100154604;"Ius et Praxis";journal;"07180012, 07172877";0,484;Q2;6;65;103;3356;21;98;0,22;51,63;Chile;"Editorial Universidad de Talca";"2001-2002, 2006-ongoing";"Law (Q2)"
168;5700169553;"Residential Treatment for Children and Youth";journal;"0886571X";0,482;Q2;21;28;66;1149;64;57;1,23;41,04;United States;"Haworth Press Inc.";"1986-2005, 2007-ongoing";"Law (Q2); Pediatrics, Perinatology and Child Health (Q2)"
169;4700152463;"International Journal of Constitutional Law";journal;"14742659, 14742640";0,481;Q2;27;65;181;1925;126;168;0,52;29,62;United Kingdom;"Oxford University Press";"2005-ongoing";"Law (Q2)"
170;15077;"Indiana Law Journal";journal;"00196665";0,476;Q2;24;31;139;1676;69;138;0,45;54,06;United States;"Indiana University Press";"1973, 1977-1979, 1981-1983, 1989, 1992-ongoing";"Law (Q2)"
171;24359;"Women's Studies International Forum";journal;"02775395";0,474;Q2;50;99;223;5896;277;214;0,91;59,56;United Kingdom;"Elsevier Ltd.";"1982-ongoing";"Development (Q2); Education (Q2); Law (Q2); Sociology and Political Science (Q2)"
172;25277;"Contemporary Drug Problems";journal;"00914509";0,470;Q2;8;25;46;1638;87;43;1,98;65,52;United States;"SAGE Publications Inc.";"1973-1981, 1994, 2014, 2016-ongoing";"Health Policy (Q2); Health (social science) (Q2); Law (Q2); Public Health, Environmental and Occupational Health (Q3)"
173;21100855505;"Journal of Cybersecurity";journal;"20572093";0,469;Q2;8;9;40;661;90;37;1,89;73,44;United Kingdom;"Oxford University Press";"2016-ongoing";"Computer Science (miscellaneous) (Q1); Computer Networks and Communications (Q2); Law (Q2); Political Science and International Relations (Q2); Safety, Risk, Reliability and Quality (Q2); Social Psychology (Q2)"
174;5700164344;"Youth Justice";journal;"14732254";0,464;Q2;23;17;51;796;58;46;1,00;46,82;United States;"SAGE Publications";"2001-ongoing";"Law (Q2); Developmental and Educational Psychology (Q3)"
175;22830;"Canadian Journal of Criminology and Criminal Justice";journal;"17077753";0,460;Q2;34;23;65;1125;62;63;0,88;48,91;Canada;"University of Toronto Press";"2003-ongoing";"Law (Q2); Social Sciences (miscellaneous) (Q2)"
176;28888;"Computer Law and Security Review";journal;"02673649";0,458;Q2;28;113;243;1953;338;221;1,67;17,28;United Kingdom;"Elsevier Ltd.";"1985-ongoing";"Business, Management and Accounting (miscellaneous) (Q2); Computer Networks and Communications (Q2); Law (Q2)"
177;5700164129;"Criminal Justice Studies";journal;"1478601X";0,458;Q2;14;24;79;1390;59;72;0,57;57,92;United Kingdom;"Routledge";"2007-ongoing";"Law (Q2)"
178;24303;"Computer Standards and Interfaces";journal;"09205489";0,455;Q2;58;72;240;3555;776;235;3,65;49,38;Netherlands;"Elsevier BV";"1985-ongoing";"Hardware and Architecture (Q1); Law (Q2); Software (Q2)"
179;21100208071;"Teoria y Realidad Constitucional";journal;"11395583";0,451;Q2;4;44;132;904;45;132;0,35;20,55;Spain;"Departamento de Derecho Politico de la UNED";"2012-ongoing";"Law (Q2); Political Science and International Relations (Q2)"
180;21100805791;"Transnational Legal Theory";journal;"20414013, 20414005";0,448;Q2;6;20;78;1086;60;73;0,37;54,30;United Kingdom;"Taylor and Francis Ltd.";"2015-ongoing";"Law (Q2)"
181;19700170839;"Journal of Human Rights Practice";journal;"17579619, 17579627";0,447;Q2;16;29;88;1279;52;85;0,52;44,10;United Kingdom;"Oxford University Press";"2009-ongoing";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
182;15626;"International Journal of Law and Psychiatry";journal;"01602527";0,445;Q2;58;87;246;4162;320;242;1,21;47,84;United Kingdom;"Elsevier Ltd.";"1978-1984, 1986-ongoing";"Law (Q2); Pathology and Forensic Medicine (Q3); Psychiatry and Mental Health (Q3)"
183;23416;"Journal of International Wildlife Law and Policy";journal;"15481476, 13880292";0,441;Q2;15;12;53;872;34;52;0,64;72,67;United Kingdom;"Taylor & Francis";"1998-ongoing";"Ecology (Q2); Geography, Planning and Development (Q2); Law (Q2); Management, Monitoring, Policy and Law (Q3)"
184;5700154184;"Legal Theory";journal;"13523252, 14698048";0,439;Q2;26;13;32;674;28;31;0,75;51,85;United Kingdom;"Cambridge University Press";"1995-ongoing";"Philosophy (Q1); Law (Q2)"
185;5000158107;"Asian Journal of Criminology";journal;"1871014X, 18710131";0,436;Q2;13;22;52;1274;65;52;0,91;57,91;Germany;"Springer Verlag";"2006-ongoing";"Law (Q2)"
186;5700169004;"Security Journal";journal;"17434645, 09551662";0,436;Q2;17;56;121;3442;138;119;1,11;61,46;United States;"Palgrave Macmillan Ltd.";"1995, 2009-ongoing";"Law (Q2); Safety Research (Q2); Strategy and Management (Q2)"
187;22194;"Washington Law Review";journal;"00430617";0,429;Q2;19;42;101;2342;54;101;0,57;55,76;United States;"Washington Law Review Association";"1973-1974, 1976, 1980, 1982-1983, 1986, 1988, 1990-1992, 1994-2000, 2002-ongoing";"Law (Q2)"
188;5000155401;"Journal of Disability Policy Studies";journal;"10442073";0,428;Q2;31;27;67;1118;92;66;1,12;41,41;United States;"SAGE Publications";"1990-ongoing";"Health (social science) (Q2); Law (Q2)"
189;4700152718;"Adoption Quarterly";journal;"10926755";0,427;Q2;27;16;49;642;43;48;0,70;40,13;United States;"Haworth Press Inc.";"1997-ongoing";"Demography (Q2); Law (Q2); Sociology and Political Science (Q2)"
190;21100275968;"Journal for European Environmental and Planning Law";journal;"18760104, 16137272";0,426;Q2;6;17;65;648;39;60;0,68;38,12;Netherlands;"Brill";"2013-ongoing";"Law (Q2); Management, Monitoring, Policy and Law (Q3)"
191;14334;"Hastings Law Journal";journal;"00178322";0,424;Q2;25;6;129;580;60;128;0,41;96,67;United States;"University of California at San Francisco";"1974-1977, 1979-1981, 1986, 1988, 1991-ongoing";"Law (Q2)"
192;21100856464;"Settler Colonial Studies";journal;"18380743, 2201473X";0,421;Q2;13;40;86;1706;64;75;0,76;42,65;United Kingdom;"Taylor and Francis Ltd.";"2011-ongoing";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Law (Q2); Sociology and Political Science (Q2)"
193;26847;"Women and Criminal Justice";journal;"08974454";0,420;Q2;25;27;70;1722;70;61;1,10;63,78;United States;"Haworth Press Inc.";"1989-2007, 2009-ongoing";"Gender Studies (Q2); Law (Q2)"
194;21100218074;"International Journal of Cyber Criminology";journal;"09742891";0,417;Q2;11;20;36;1196;78;36;1,74;59,80;India;"K. Jaishankar";"2012-ongoing";"Law (Q2)"
195;19700182652;"Journal of Tort Law";journal;"19329148";0,415;Q2;6;20;12;1142;6;11;0,11;57,10;Germany;"Walter de Gruyter GmbH";"2010-ongoing";"Law (Q2)"
196;12669;"American Bankruptcy Law Journal";journal;"00279048";0,414;Q2;13;17;55;654;17;53;0,43;38,47;United States;"National Conference of Bankruptcy Judges";"1996-2011, 2014-ongoing";"Business, Management and Accounting (miscellaneous) (Q2); Law (Q2)"
197;25282;"Journal of Fluorescence";journal;"15734994, 10530509";0,409;Q2;63;176;692;6718;1234;685;1,85;38,17;United States;"Kluwer Academic/Plenum Publishers";"1991-ongoing";"Clinical Psychology (Q2); Law (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Biochemistry (Q3); Clinical Biochemistry (Q3); Spectroscopy (Q3)"
198;5800169269;"Chinese Journal of International Law";journal;"15401650, 17469937";0,408;Q2;16;23;97;1200;66;80;0,91;52,17;United Kingdom;"Oxford University Press";"2008-ongoing";"Law (Q2); Political Science and International Relations (Q2)"
199;5700168403;"Global Crime";journal;"17440572";0,400;Q2;21;18;55;1269;87;53;1,76;70,50;United Kingdom;"Taylor & Francis";"2007-ongoing";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
200;145585;"Industrial Law Journal";journal;"03059332";0,399;Q2;22;21;86;655;64;63;1,16;31,19;United Kingdom;"Oxford University Press";"1972-1995, 2005-ongoing";"Law (Q2)"
201;17575;"Law and Policy";journal;"02658240, 14679930";0,397;Q2;40;18;49;1406;85;49;1,56;78,11;United Kingdom;"Blackwell Publishing Inc.";"1979-1995, 2005-ongoing";"Law (Q2); Sociology and Political Science (Q2)"
202;13145;"The American University law review";journal;"00031453";0,389;Q2;5;0;6;0;6;6;0,67;0,00;United States;"American University";"1977-1978, 1982, 1991-1997, 1999-2002, 2004-2008, 2011-ongoing";"Law (Q2)"
203;21100286942;"Hague Journal on the Rule of Law";journal;"18764053, 18764045";0,388;Q2;15;16;58;814;52;56;1,03;50,88;United Kingdom;"Springer International Publishing AG";"2013-ongoing";"Law (Q2)"
204;18728;"Psychiatry, Psychology and Law";journal;"13218719";0,388;Q2;28;82;216;3585;177;195;0,91;43,72;United Kingdom;"Taylor & Francis";"1994-ongoing";"Law (Q2); Pathology and Forensic Medicine (Q3); Psychiatry and Mental Health (Q3); Psychology (miscellaneous) (Q3)"
205;5800154205;"International Journal of Comparative and Applied Criminal Justice";journal;"21576475, 01924036";0,387;Q2;8;25;64;1539;77;58;0,78;61,56;United States;"Routledge";"1977-1995, 2014-ongoing";"Law (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)"
206;19600166406;"European Business Organization Law Review";journal;"15667529";0,385;Q2;18;31;79;1715;47;75;0,44;55,32;Netherlands;"Springer International Publishing AG";"2008-ongoing";"Business and International Management (Q2); Law (Q2); Political Science and International Relations (Q2)"
207;21100824895;"Journal of Energy and Natural Resources Law";journal;"23764538, 02646811";0,385;Q2;6;24;86;279;71;70;1,05;11,63;United Kingdom;"Taylor and Francis Ltd.";"2015-ongoing";"Energy (miscellaneous) (Q2); Law (Q2)"
208;20750;"European Journal of Law and Economics";journal;"09291261, 15729990";0,375;Q2;26;45;143;1716;108;136;0,72;38,13;Netherlands;"Kluwer Academic Publishers";"1994-ongoing";"Business and International Management (Q2); Law (Q2); Economics and Econometrics (Q3)"
209;5600155017;"International Journal of Human Rights";journal;"13642987";0,374;Q2;17;81;236;3190;217;210;1,01;39,38;United Kingdom;"Routledge";"2009-ongoing";"Law (Q2); Sociology and Political Science (Q2)"
210;12974;"University of Cincinnati Law Review";journal;"00096881";0,368;Q2;20;20;42;819;12;42;0,29;40,95;United States;"University of Cincinnati, College of Law";"1973, 1975-1978, 1980-1982, 1987, 1990, 1992-1994, 1996-2013, 2016-ongoing";"Law (Q2)"
211;21100441452;"Journal of Strategic Security";journal;"19440472, 19440464";0,366;Q2;5;12;81;615;46;80;0,70;51,25;United States;"Henley-Putnam University Press";"2014-ongoing";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Safety Research (Q3)"
212;4700152740;"Journal of Child Custody";journal;"15379418";0,360;Q2;17;21;56;824;32;44;0,71;39,24;United States;"Haworth Press Inc.";"2004-ongoing";"Law (Q2); Sociology and Political Science (Q2); Health (social science) (Q3); Life-span and Life-course Studies (Q3)"
213;5800207391;"The Journal of Adult Protection";journal;"14668203";0,359;Q2;15;18;106;766;79;103;0,81;42,56;United Kingdom;"Emerald Group Publishing Ltd.";"1999-ongoing";"Law (Q2); Sociology and Political Science (Q2)"
214;21100407545;"International Journal for Crime, Justice and Social Democracy";journal;"22028005, 22027998";0,355;Q2;11;34;113;1855;149;105;1,56;54,56;Australia;"Queensland Uuniversity of Technology";"2013-ongoing";"Law (Q2); Sociology and Political Science (Q2)"
215;21100200414;"Legal Studies";journal;"1748121X, 02613875";0,354;Q2;21;34;94;1140;72;93;0,76;33,53;United States;"Wiley-Blackwell";"1981-1995, 2000-2001, 2011-ongoing";"Law (Q2)"
216;5600152936;"Crime Prevention and Community Safety";journal;"17434629, 14603780";0,353;Q2;18;23;53;917;41;51;0,63;39,87;United Kingdom;"Palgrave Macmillan Ltd.";"1999-ongoing";"Law (Q2); Sociology and Political Science (Q2); Safety Research (Q3)"
217;5000160302;"Revista de Derecho";journal;"07180950, 07169132";0,352;Q2;6;34;95;1101;18;90;0,12;32,38;Chile;"Universidad Austral de Chile";"2006-ongoing";"Law (Q2)"
218;145568;"European Journal on Criminal Policy and Research";journal;"09281371";0,349;Q2;29;53;93;2058;134;89;1,38;38,83;Netherlands;"Springer Netherlands";"1993-2001, 2005-ongoing";"Law (Q2)"
219;21100370349;"Journal of Criminal Psychology";journal;"20093829";0,348;Q2;7;24;68;1518;59;63;0,95;63,25;United Kingdom;"Emerald Group Publishing Ltd.";"2011-ongoing";"Law (Q2); Applied Psychology (Q3); Social Psychology (Q3)"
220;16323;"Theoretical Inquiries in Law";journal;"15651509, 15653404";0,347;Q2;22;28;57;1354;35;51;0,72;48,36;Germany;"Walter de Gruyter GmbH";"2004-ongoing";"Law (Q2)"
221;21100195305;"Law, Probability and Risk";journal;"1470840X, 14708396";0,345;Q2;11;22;45;627;42;40;1,06;28,50;United Kingdom;"Oxford University Press";"2011-ongoing";"Philosophy (Q1); Law (Q2); Statistics, Probability and Uncertainty (Q3)"
222;17400154828;"Psychological Injury and Law";journal;"1938971X, 19389728";0,341;Q2;21;30;95;2355;95;88;0,97;78,50;Germany;"Springer Verlag";"2009-ongoing";"Law (Q2); Ecology (Q3); Psychiatry and Mental Health (Q3)"
223;28955;"Justice System Journal";journal;"0098261X";0,340;Q2;18;24;90;1215;42;74;0,51;50,63;United Kingdom;"Taylor & Francis";"1988, 1990-1991, 1993-ongoing";"Law (Q2)"
224;12043;"Interchange";journal;"08264805";0,338;Q2;14;30;85;1391;55;83;0,52;46,37;Netherlands;"Springer Netherlands";"1970-2003, 2005-ongoing";"Arts and Humanities (miscellaneous) (Q2); Law (Q2); Social Sciences (miscellaneous) (Q2); Education (Q3)"
225;25817;"Journal of Divorce and Remarriage";journal;"10502556";0,338;Q2;27;46;111;2181;80;110;0,78;47,41;United States;"Haworth Press Inc.";"1990-ongoing";"Demography (Q2); Law (Q2)"
226;5700153969;"University of Toronto Law Journal";journal;"00420220";0,337;Q2;14;29;59;1591;36;56;0,68;54,86;Canada;"University of Toronto Press";"2008-ongoing";"Law (Q2); Sociology and Political Science (Q2)"
227;4700152741;"Journal of Ethnicity in Criminal Justice";journal;"15377938";0,334;Q2;14;19;54;913;49;54;0,72;48,05;United States;"Haworth Press Inc.";"2003-ongoing";"Anthropology (Q2); Law (Q2)"
228;21100285725;"European Journal of Risk Regulation";journal;"1867299X";0,332;Q2;14;44;258;1074;108;230;0,48;24,41;Germany;"Cambridge University Press";"2010-ongoing";"Law (Q2); Safety Research (Q3)"
229;16149;"Medical Law International";journal;"09685332";0,330;Q2;10;12;32;243;21;31;0,75;20,25;United Kingdom;"SAGE Publications Inc.";"1993-ongoing";"Law (Q2); Medicine (miscellaneous) (Q3)"
230;21100773741;"Journal of Policing, Intelligence and Counter Terrorism";journal;"18335330, 21595364";0,325;Q2;9;23;24;1309;17;19;0,89;56,91;United Kingdom;"Taylor and Francis Ltd.";"2006-2013, 2016-ongoing";"Law (Q2); Political Science and International Relations (Q2)"
231;5800170936;"Legal Issues of Economic Integration";journal;"15666573";0,324;Q2;9;24;68;683;32;64;0,60;28,46;Netherlands;"Kluwer Law International";"2012-ongoing";"Law (Q2); Economics and Econometrics (Q3)"
232;28336;"Ocean Development and International Law";journal;"00908320, 15210642";0,324;Q2;28;20;66;678;52;60;0,71;33,90;United Kingdom;"Taylor & Francis";"1973-ongoing";"Law (Q2); Political Science and International Relations (Q2); Development (Q3); Management, Monitoring, Policy and Law (Q3)"
233;22771;"Wisconsin Law Review";journal;"0043650X";0,321;Q2;24;25;87;1151;35;85;0,35;46,04;United States;"University of Wisconsin at Madison";"1976, 1978-1982, 1984-1985, 1987, 1990, 1992-1993, 1995-ongoing";"Law (Q2)"
