Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
109;5700152854;"Journal of Policy History";journal;"08980306, 15284190";0,158;Q4;19;31;82;1900;33;81;0,21;61,29;United Kingdom;"Cambridge University Press";"1989-ongoing";"Sociology and Political Science (Q3); Public Administration (Q4)"
110;21100210921;"Central European Journal of Public Policy";journal;"18024866";0,156;Q4;6;8;38;271;19;35;0,50;33,88;Czech Republic;"Faculty of Sociel Sciences, Charles Universtiy";"2012-ongoing";"Law (Q3); Sociology and Political Science (Q3); Public Administration (Q4)"
111;16020;"Administration";journal;"00018325, 24499471";0,154;Q4;4;31;80;702;31;73;0,43;22,65;Germany;"De Gruyter Open Ltd.";"2016-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3); Public Administration (Q4)"
112;19700173159;"Reforma y Democracia";journal;"13152378";0,145;Q4;5;15;74;589;6;74;0,10;39,27;Venezuela;"Centro Latinoamericano de Administracion para el Desarrollo (CLAD)";"2008-ongoing";"Sociology and Political Science (Q3); Public Administration (Q4)"
113;6600153108;"International Journal of Public Policy";journal;"17400600, 17400619";0,128;Q4;12;22;55;826;8;55;0,10;37,55;United Kingdom;"Inderscience Publishers";"2007-ongoing";"Political Science and International Relations (Q4); Public Administration (Q4); Sociology and Political Science (Q4)"
114;22826;"Gestion y Politica Publica";journal;"14051079";0,123;Q4;7;33;23;1815;6;22;0,33;55,00;Mexico;"Centro de Investigacion y Docencia Economicas";"1995-ongoing";"Political Science and International Relations (Q4); Public Administration (Q4)"
115;21100444329;"European Journal of Government and Economics";journal;"22547088";0,120;Q4;5;5;26;240;8;25;0,38;48,00;Switzerland;"Europa Grande";"2012-ongoing";"Economics and Econometrics (Q4); Public Administration (Q4)"
116;21100228115;"Journal of Drug Policy Analysis";journal;"19412851";0,120;Q4;3;7;17;253;5;17;0,33;36,14;Germany;"Walter de Gruyter GmbH";"2012-ongoing";"Health Policy (Q4); Health (social science) (Q4); Public Administration (Q4)"
117;7400153103;"Frontiers of Business Research in China";journal;"16737326, 16737431";0,117;Q4;9;24;19;1580;5;19;0,38;65,83;Singapore;"Springer Singapore";"2007-ongoing";"Business, Management and Accounting (miscellaneous) (Q4); Public Administration (Q4)"
118;21100241803;"Amme Idaresi Dergisi";journal;"13001795";0,113;Q4;4;13;74;835;9;74;0,11;64,23;Turkey;"Turkiye ve Orta Dogu Amme Idaresi Enstitusu";"2008-ongoing";"Public Administration (Q4); Sociology and Political Science (Q4)"
119;21100326896;"Journal of Accounting, Ethics and Public Policy";journal;"1089652X";0,112;Q4;2;0;2;0;0;2;0,00;0,00;United States;"Journal of Accounting, Ethics and Public Policy";"2013, 2016-ongoing";"Accounting (Q4); Public Administration (Q4)"
120;5600155528;"International Journal of Organization Theory and Behavior";journal;"10934537";0,111;Q4;4;24;55;1148;10;51;0,16;47,83;United Kingdom;"Emerald Group Publishing Ltd.";"2012-ongoing";"Applied Psychology (Q4); Organizational Behavior and Human Resource Management (Q4); Public Administration (Q4)"
121;19700170050;"Halduskultuur";journal;"17366070";0,101;Q4;8;11;21;697;3;20;0,08;63,36;Estonia;"Halduskultuur Tallinn University of Technology";"2009-ongoing";"Public Administration (Q4)"
122;23528;"Presidential Studies Quarterly";journal;"03604918";;-;1;47;0;2357;0;0;0,00;50,15;United States;"Center for the Study of the Presidency";"1983, 1985, 1988, 2018-ongoing";"History; Public Administration; Sociology and Political Science"
